Equipment ID,Equipment Type,ABC,VED
1,NS,B,E
2,E&SP (NR),C,V
3,E&SP (NR),C,E
4,E&SP (NR),C,E
5,E&SP (NR),C,E
6,NS,C,E
7,E&SP (NR),C,E
8,E&SP (NR),C,E
9,E&SP (NR),C,E
10,E&SP (NR),C,V
11,E&SP (NR),C,E
12,NS,C,V
13,E&SP (NR),C,E
14,E&SP (R),C,E
15,E&SP (NR),C,E
16,E&SP (NR),C,E
17,NS,C,E
18,NS,C,E
19,E&SP (NR),B,D
20,E&SP (R),C,D
21,NS,C,D
22,E&SP (NR),C,E
23,E&SP (NR),C,E
24,E&SP (NR),C,E
25,E&SP (NR),C,E
26,NS,C,V
27,E&SP (NR),C,E
28,NS,C,E
29,E&SP (NR),C,E
30,E&SP (NR),C,D
31,E&SP (NR),C,E
32,NS,C,E
33,NS,C,D
34,E&SP (NR),C,E
35,E&SP (NR),C,D
36,NS,C,D
37,E&SP (NR),C,V
38,E&SP (NR),B,D
39,E&SP (NR),C,E
40,E&SP (NR),C,E
41,E&SP (NR),C,E
42,E&SP (NR),B,E
43,NS,C,D
44,E&SP (R),C,V
45,E&SP (NR),C,D
46,E&SP (NR),C,E
47,E&SP (NR),C,E
48,NS,C,D
49,E&SP (NR),C,D
50,E&SP (NR),C,E
51,E&SP (NR),B,V
52,E&SP (R),C,V
53,E&SP (R),C,D
54,NS,C,E
55,E&SP (NR),C,E
56,NS,C,D
57,E&SP (NR),C,E
58,E&SP (NR),C,D
59,E&SP (NR),C,E
60,E&SP (R),C,V
61,NS,C,E
62,E&SP (NR),C,E
63,E&SP (NR),C,D
64,E&SP (NR),C,E
65,NS,C,E
66,E&SP (NR),C,V
67,E&SP (NR),C,E
68,NS,C,E
69,NS,C,V
70,E&SP (NR),C,E
71,E&SP (NR),C,E
72,E&SP (NR),C,V
73,NS,C,D
74,E&SP (NR),C,E
75,E&SP (NR),B,E
76,E&SP (R),C,E
77,E&SP (NR),C,V
78,NS,C,D
79,E&SP (NR),C,V
80,NS,C,E
81,E&SP (NR),C,D
82,NS,C,V
83,E&SP (NR),C,E
84,E&SP (NR),C,D
85,NS,C,E
86,E&SP (NR),C,D
87,E&SP (NR),C,E
88,E&SP (NR),B,E
89,E&SP (NR),C,E
90,E&SP (NR),C,E
91,NS,C,E
92,E&SP (NR),C,E
93,E&SP (NR),C,E
94,E&SP (NR),C,D
95,NS,C,E
96,NS,C,E
97,E&SP (NR),C,V
98,E&SP (NR),C,E
99,E&SP (NR),C,E
100,E&SP (NR),C,V
101,E&SP (NR),C,E
102,E&SP (NR),B,D
103,E&SP (NR),C,E
104,E&SP (NR),C,V
105,NS,C,D
106,NS,C,D
107,E&SP (NR),C,E
108,NS,C,E
109,E&SP (NR),C,D
110,E&SP (NR),C,D
111,E&SP (NR),C,E
112,NS,C,V
113,NS,C,E
114,E&SP (NR),C,D
115,E&SP (NR),C,E
116,NS,C,E
117,E&SP (NR),C,D
118,E&SP (NR),C,E
119,E&SP (NR),C,V
120,E&SP (NR),C,D
121,E&SP (NR),B,E
122,E&SP (R),C,E
123,NS,B,E
124,NS,C,D
125,E&SP (NR),C,E
126,NS,C,E
127,E&SP (NR),B,E
128,NS,C,E
129,E&SP (NR),C,D
130,E&SP (NR),C,E
131,E&SP (NR),C,E
132,NS,A,D
133,E&SP (NR),A,E
134,E&SP (NR),B,E
135,NS,C,E
136,E&SP (NR),C,E
